Transaction_ID,Date,Ticker,Company_Name,Sector,Action,Quantity,Price_Per_Share,Total_Value,Dividend_Yield_Pct
TXN-2024,2023-01-01,MSFT,Microsoft Corp.,Technology,Buy,25,363.72,9093.0,0.5
TXN-2167,2023-01-03,JNJ,Johnson & Johnson,Healthcare,Buy,15,182.12,2731.8,1.5
TXN-2005,2023-01-04,JPM,JPMorgan Chase,Financials,Buy,5,219.61,1098.05,2.5
TXN-2022,2023-01-06,GOOGL,Alphabet Inc.,Technology,Buy,5,130.05,650.25,0.5
TXN-2080,2023-01-06,V,Visa Inc.,Financials,Buy,25,236.56,5914.0,2.5
TXN-2180,2023-01-06,PG,Procter & Gamble,Consumer Staples,Buy,20,160.23,3204.6,2.8
TXN-2131,2023-01-12,KO,Coca-Cola Co.,Consumer Staples,Buy,15,69.57,1043.55,2.8
TXN-2113,2023-01-14,TSLA,Tesla Inc.,Consumer Discretionary,Sell,100,276.09,27609.0,0.3
TXN-2175,2023-01-17,GOOGL,Alphabet Inc.,Technology,Buy,20,127.77,2555.4,0.5
TXN-2139,2023-01-19,GOOGL,Alphabet Inc.,Technology,Sell,25,123.41,3085.25,0.5
TXN-2064,2023-01-22,JNJ,Johnson & Johnson,Healthcare,Sell,10,150.6,1506.0,1.5
TXN-2134,2023-01-25,UNH,UnitedHealth Group,Healthcare,Buy,100,456.39,45639.0,1.5
TXN-2000,2023-01-27,TSLA,Tesla Inc.,Consumer Discretionary,Buy,20,228.4,4568.0,0.3
TXN-2019,2023-01-31,KO,Coca-Cola Co.,Consumer Staples,Buy,20,71.14,1422.8,2.8
TXN-2096,2023-01-31,AAPL,Apple Inc.,Technology,Buy,20,185.8,3716.0,0.5
TXN-2101,2023-02-01,AAPL,Apple Inc.,Technology,Buy,5,197.86,989.3,0.5
TXN-2183,2023-02-07,JPM,JPMorgan Chase,Financials,Buy,20,172.45,3449.0,2.5
TXN-2198,2023-02-10,KO,Coca-Cola Co.,Consumer Staples,Buy,20,71.5,1430.0,2.8
TXN-2092,2023-02-12,CVX,Chevron Corp.,Energy,Buy,20,140.47,2809.4,3.5
TXN-2126,2023-02-12,GOOGL,Alphabet Inc.,Technology,Buy,20,126.33,2526.6,0.5
TXN-2185,2023-02-12,NEE,NextEra Energy,Utilities,Buy,100,75.45,7545.0,3.0
TXN-2143,2023-02-14,AAPL,Apple Inc.,Technology,Buy,50,191.45,9572.5,0.5
TXN-2017,2023-02-15,NEE,NextEra Energy,Utilities,Buy,5,80.89,404.45,3.0
TXN-2025,2023-02-15,MSFT,Microsoft Corp.,Technology,Buy,5,413.99,2069.95,0.5
TXN-2147,2023-02-16,NEE,NextEra Energy,Utilities,Sell,25,74.55,1863.75,3.0
TXN-2006,2023-02-17,KO,Coca-Cola Co.,Consumer Staples,Buy,100,70.07,7007.0,2.8
TXN-2154,2023-02-19,JNJ,Johnson & Johnson,Healthcare,Sell,100,155.15,15515.0,1.5
TXN-2115,2023-02-21,GOOGL,Alphabet Inc.,Technology,Sell,25,123.52,3088.0,0.5
TXN-2122,2023-02-21,VZ,Verizon,Communication Services,Sell,100,40.74,4074.0,5.0
TXN-2190,2023-03-03,AAPL,Apple Inc.,Technology,Buy,25,166.09,4152.25,0.5
TXN-2116,2023-03-04,VZ,Verizon,Communication Services,Sell,15,36.55,548.25,5.0
TXN-2128,2023-03-04,CVX,Chevron Corp.,Energy,Buy,15,158.59,2378.85,3.5
TXN-2088,2023-03-06,MSFT,Microsoft Corp.,Technology,Buy,100,363.47,36347.0,0.5
TXN-2093,2023-03-06,VZ,Verizon,Communication Services,Buy,100,46.74,4674.0,5.0
TXN-2097,2023-03-10,KO,Coca-Cola Co.,Consumer Staples,Buy,20,70.99,1419.8,2.8
TXN-2046,2023-03-11,CVX,Chevron Corp.,Energy,Sell,20,166.15,3323.0,3.5
TXN-2144,2023-03-11,CVX,Chevron Corp.,Energy,Sell,25,146.17,3654.25,3.5
TXN-2148,2023-03-15,UNH,UnitedHealth Group,Healthcare,Sell,50,541.16,27058.0,1.5
TXN-2163,2023-03-15,JPM,JPMorgan Chase,Financials,Sell,10,175.07,1750.7,2.5
TXN-2095,2023-03-16,AMZN,Amazon.com Inc.,Consumer Discretionary,Buy,10,187.4,1874.0,0.3
TXN-2192,2023-03-19,JPM,JPMorgan Chase,Financials,Buy,15,179.73,2695.95,2.5
TXN-2021,2023-03-20,UNH,UnitedHealth Group,Healthcare,Buy,100,519.2,51920.0,1.5
TXN-2029,2023-03-25,VZ,Verizon,Communication Services,Sell,5,44.9,224.5,5.0
TXN-2094,2023-03-25,CVX,Chevron Corp.,Energy,Sell,15,133.6,2004.0,3.5
TXN-2155,2023-04-01,VZ,Verizon,Communication Services,Buy,50,43.64,2182.0,5.0
TXN-2165,2023-04-02,CVX,Chevron Corp.,Energy,Buy,10,155.8,1558.0,3.5
TXN-2054,2023-04-03,V,Visa Inc.,Financials,Sell,5,303.63,1518.15,2.5
TXN-2146,2023-04-05,UNH,UnitedHealth Group,Healthcare,Buy,50,592.52,29626.0,1.5
TXN-2111,2023-04-09,AMZN,Amazon.com Inc.,Consumer Discretionary,Sell,20,193.66,3873.2,0.3
TXN-2078,2023-04-10,VZ,Verizon,Communication Services,Buy,10,48.12,481.2,5.0
TXN-2043,2023-04-11,UNH,UnitedHealth Group,Healthcare,Buy,5,477.1,2385.5,1.5
TXN-2132,2023-04-13,V,Visa Inc.,Financials,Buy,5,269.02,1345.1,2.5
TXN-2194,2023-04-17,JPM,JPMorgan Chase,Financials,Buy,20,199.21,3984.2,2.5
TXN-2090,2023-04-20,V,Visa Inc.,Financials,Sell,5,276.1,1380.5,2.5
TXN-2073,2023-04-25,TSLA,Tesla Inc.,Consumer Discretionary,Buy,5,241.38,1206.9,0.3
TXN-2018,2023-04-28,V,Visa Inc.,Financials,Buy,50,302.18,15109.0,2.5
TXN-2156,2023-04-29,PG,Procter & Gamble,Consumer Staples,Buy,10,165.52,1655.2,2.8
TXN-2079,2023-05-06,VZ,Verizon,Communication Services,Buy,20,47.55,951.0,5.0
TXN-2061,2023-05-08,XOM,Exxon Mobil,Energy,Buy,25,118.67,2966.75,3.5
TXN-2117,2023-05-11,JPM,JPMorgan Chase,Financials,Buy,20,171.88,3437.6,2.5
TXN-2184,2023-05-12,MSFT,Microsoft Corp.,Technology,Buy,15,343.17,5147.55,0.5
TXN-2118,2023-05-14,UNH,UnitedHealth Group,Healthcare,Sell,100,465.32,46532.0,1.5
TXN-2042,2023-05-16,V,Visa Inc.,Financials,Buy,25,240.73,6018.25,2.5
TXN-2057,2023-05-16,UNH,UnitedHealth Group,Healthcare,Sell,15,455.16,6827.4,1.5
TXN-2071,2023-05-18,UNH,UnitedHealth Group,Healthcare,Buy,50,592.57,29628.5,1.5
TXN-2041,2023-05-20,VZ,Verizon,Communication Services,Buy,10,47.04,470.4,5.0
TXN-2062,2023-05-21,JPM,JPMorgan Chase,Financials,Sell,10,173.67,1736.7,2.5
TXN-2069,2023-05-26,GOOGL,Alphabet Inc.,Technology,Sell,15,137.14,2057.1,0.5
TXN-2112,2023-05-26,KO,Coca-Cola Co.,Consumer Staples,Sell,25,56.14,1403.5,2.8
TXN-2087,2023-05-27,GOOGL,Alphabet Inc.,Technology,Buy,50,157.67,7883.5,0.5
TXN-2067,2023-05-28,XOM,Exxon Mobil,Energy,Buy,5,100.11,500.55,3.5
TXN-2102,2023-05-28,AMZN,Amazon.com Inc.,Consumer Discretionary,Buy,100,151.98,15198.0,0.3
TXN-2007,2023-05-30,VZ,Verizon,Communication Services,Buy,20,39.18,783.6,5.0
TXN-2033,2023-05-30,CVX,Chevron Corp.,Energy,Sell,15,137.99,2069.85,3.5
TXN-2082,2023-05-30,VZ,Verizon,Communication Services,Buy,5,39.4,197.0,5.0
TXN-2130,2023-06-09,PG,Procter & Gamble,Consumer Staples,Buy,50,157.18,7859.0,2.8
TXN-2027,2023-06-15,TSLA,Tesla Inc.,Consumer Discretionary,Sell,5,264.08,1320.4,0.3
TXN-2109,2023-06-16,JNJ,Johnson & Johnson,Healthcare,Sell,50,163.49,8174.5,1.5
TXN-2100,2023-06-17,KO,Coca-Cola Co.,Consumer Staples,Buy,100,57.37,5737.0,2.8
TXN-2182,2023-06-18,XOM,Exxon Mobil,Energy,Buy,20,93.64,1872.8,3.5
TXN-2002,2023-06-20,JPM,JPMorgan Chase,Financials,Buy,10,174.36,1743.6,2.5
TXN-2189,2023-06-20,JPM,JPMorgan Chase,Financials,Buy,15,202.01,3030.15,2.5
TXN-2015,2023-06-21,JPM,JPMorgan Chase,Financials,Buy,5,208.91,1044.55,2.5
TXN-2028,2023-06-21,V,Visa Inc.,Financials,Buy,50,286.64,14332.0,2.5
TXN-2159,2023-06-21,JPM,JPMorgan Chase,Financials,Sell,50,216.02,10801.0,2.5
TXN-2161,2023-06-22,KO,Coca-Cola Co.,Consumer Staples,Buy,10,55.0,550.0,2.8
TXN-2153,2023-06-23,AMZN,Amazon.com Inc.,Consumer Discretionary,Buy,15,154.75,2321.25,0.3
TXN-2099,2023-06-24,KO,Coca-Cola Co.,Consumer Staples,Buy,50,53.26,2663.0,2.8
TXN-2177,2023-06-28,KO,Coca-Cola Co.,Consumer Staples,Sell,15,70.96,1064.4,2.8
TXN-2023,2023-06-30,KO,Coca-Cola Co.,Consumer Staples,Buy,20,64.97,1299.4,2.8
TXN-2172,2023-06-30,JPM,JPMorgan Chase,Financials,Buy,10,223.44,2234.4,2.5
TXN-2178,2023-07-02,UNH,UnitedHealth Group,Healthcare,Buy,5,501.03,2505.15,1.5
TXN-2052,2023-07-05,KO,Coca-Cola Co.,Consumer Staples,Sell,15,59.8,897.0,2.8
TXN-2084,2023-07-05,CVX,Chevron Corp.,Energy,Buy,10,151.4,1514.0,3.5
TXN-2065,2023-07-09,VZ,Verizon,Communication Services,Sell,25,46.75,1168.75,5.0
TXN-2055,2023-07-12,UNH,UnitedHealth Group,Healthcare,Buy,10,581.45,5814.5,1.5
TXN-2056,2023-07-12,JPM,JPMorgan Chase,Financials,Buy,15,173.62,2604.3,2.5
TXN-2026,2023-07-13,MSFT,Microsoft Corp.,Technology,Buy,50,369.32,18466.0,0.5
TXN-2058,2023-07-14,AAPL,Apple Inc.,Technology,Buy,15,154.83,2322.45,0.5
TXN-2068,2023-07-17,AMZN,Amazon.com Inc.,Consumer Discretionary,Buy,5,198.68,993.4,0.3
TXN-2016,2023-07-18,PG,Procter & Gamble,Consumer Staples,Buy,5,149.79,748.95,2.8
TXN-2086,2023-07-19,MSFT,Microsoft Corp.,Technology,Sell,20,422.28,8445.6,0.5
TXN-2063,2023-08-08,KO,Coca-Cola Co.,Consumer Staples,Buy,10,62.03,620.3,2.8
TXN-2170,2023-08-08,NEE,NextEra Energy,Utilities,Buy,5,82.72,413.6,3.0
TXN-2011,2023-08-11,KO,Coca-Cola Co.,Consumer Staples,Buy,100,65.57,6557.0,2.8
TXN-2136,2023-08-11,XOM,Exxon Mobil,Energy,Buy,15,92.3,1384.5,3.5
TXN-2004,2023-08-12,CVX,Chevron Corp.,Energy,Buy,25,149.69,3742.25,3.5
TXN-2171,2023-08-16,JNJ,Johnson & Johnson,Healthcare,Buy,5,169.09,845.45,1.5
TXN-2060,2023-08-17,TSLA,Tesla Inc.,Consumer Discretionary,Sell,25,250.87,6271.75,0.3
TXN-2149,2023-08-21,VZ,Verizon,Communication Services,Buy,50,45.93,2296.5,5.0
TXN-2066,2023-08-26,UNH,UnitedHealth Group,Healthcare,Sell,25,568.53,14213.25,1.5
TXN-2151,2023-08-27,JPM,JPMorgan Chase,Financials,Buy,15,215.39,3230.85,2.5
TXN-2141,2023-08-30,PG,Procter & Gamble,Consumer Staples,Buy,50,149.46,7473.0,2.8
TXN-2196,2023-09-04,CVX,Chevron Corp.,Energy,Buy,50,152.93,7646.5,3.5
TXN-2009,2023-09-05,AMZN,Amazon.com Inc.,Consumer Discretionary,Buy,50,180.2,9010.0,0.3
TXN-2181,2023-09-13,MSFT,Microsoft Corp.,Technology,Sell,10,363.03,3630.3,0.5
TXN-2168,2023-09-16,KO,Coca-Cola Co.,Consumer Staples,Buy,5,61.08,305.4,2.8
TXN-2013,2023-09-19,AAPL,Apple Inc.,Technology,Sell,50,158.73,7936.5,0.5
TXN-2085,2023-09-19,KO,Coca-Cola Co.,Consumer Staples,Sell,20,63.58,1271.6,2.8
TXN-2145,2023-09-19,V,Visa Inc.,Financials,Sell,15,268.04,4020.6,2.5
TXN-2039,2023-09-21,UNH,UnitedHealth Group,Healthcare,Buy,25,463.02,11575.5,1.5
TXN-2119,2023-10-01,MSFT,Microsoft Corp.,Technology,Sell,15,355.94,5339.1,0.5
TXN-2138,2023-10-01,VZ,Verizon,Communication Services,Buy,5,38.46,192.3,5.0
TXN-2032,2023-10-03,TSLA,Tesla Inc.,Consumer Discretionary,Buy,50,265.67,13283.5,0.3
TXN-2074,2023-10-07,UNH,UnitedHealth Group,Healthcare,Buy,10,528.56,5285.6,1.5
TXN-2173,2023-10-08,XOM,Exxon Mobil,Energy,Buy,25,105.04,2626.0,3.5
TXN-2150,2023-10-10,JNJ,Johnson & Johnson,Healthcare,Buy,15,173.58,2603.7,1.5
TXN-2045,2023-10-11,UNH,UnitedHealth Group,Healthcare,Buy,100,593.92,59392.0,1.5
TXN-2105,2023-10-12,JPM,JPMorgan Chase,Financials,Buy,10,216.15,2161.5,2.5
TXN-2003,2023-10-15,JPM,JPMorgan Chase,Financials,Sell,10,166.53,1665.3,2.5
TXN-2044,2023-10-17,AMZN,Amazon.com Inc.,Consumer Discretionary,Buy,15,156.43,2346.45,0.3
TXN-2059,2023-10-21,CVX,Chevron Corp.,Energy,Buy,15,143.4,2151.0,3.5
TXN-2135,2023-10-24,AMZN,Amazon.com Inc.,Consumer Discretionary,Buy,50,195.76,9788.0,0.3
TXN-2051,2023-10-27,MSFT,Microsoft Corp.,Technology,Buy,15,421.5,6322.5,0.5
TXN-2035,2023-10-29,V,Visa Inc.,Financials,Buy,50,245.33,12266.5,2.5
TXN-2070,2023-11-07,AAPL,Apple Inc.,Technology,Buy,10,159.61,1596.1,0.5
TXN-2089,2023-11-11,AAPL,Apple Inc.,Technology,Buy,15,164.38,2465.7,0.5
TXN-2114,2023-11-17,KO,Coca-Cola Co.,Consumer Staples,Buy,10,59.93,599.3,2.8
TXN-2020,2023-11-19,XOM,Exxon Mobil,Energy,Buy,20,121.06,2421.2,3.5
TXN-2129,2023-11-23,KO,Coca-Cola Co.,Consumer Staples,Buy,10,69.48,694.8,2.8
TXN-2083,2023-11-26,NEE,NextEra Energy,Utilities,Buy,25,62.02,1550.5,3.0
TXN-2108,2023-11-28,TSLA,Tesla Inc.,Consumer Discretionary,Buy,50,222.29,11114.5,0.3
TXN-2164,2023-11-29,GOOGL,Alphabet Inc.,Technology,Buy,20,150.58,3011.6,0.5
TXN-2077,2023-12-01,V,Visa Inc.,Financials,Buy,10,274.84,2748.4,2.5
TXN-2166,2023-12-01,GOOGL,Alphabet Inc.,Technology,Sell,20,140.31,2806.2,0.5
TXN-2142,2023-12-03,V,Visa Inc.,Financials,Sell,50,290.3,14515.0,2.5
TXN-2036,2023-12-09,AAPL,Apple Inc.,Technology,Buy,100,188.05,18805.0,0.5
TXN-2176,2023-12-13,NEE,NextEra Energy,Utilities,Buy,50,79.63,3981.5,3.0
TXN-2030,2023-12-14,GOOGL,Alphabet Inc.,Technology,Buy,10,150.57,1505.7,0.5
TXN-2157,2023-12-31,MSFT,Microsoft Corp.,Technology,Sell,20,429.66,8593.2,0.5
TXN-2162,2023-12-31,NEE,NextEra Energy,Utilities,Buy,25,76.88,1922.0,3.0
TXN-2140,2024-01-01,AAPL,Apple Inc.,Technology,Sell,100,187.67,18767.0,0.5
TXN-2187,2024-01-01,AAPL,Apple Inc.,Technology,Buy,5,198.46,992.3,0.5
TXN-2037,2024-01-04,XOM,Exxon Mobil,Energy,Buy,15,103.55,1553.25,3.5
TXN-2040,2024-01-07,JPM,JPMorgan Chase,Financials,Buy,25,186.41,4660.25,2.5
TXN-2110,2024-01-17,UNH,UnitedHealth Group,Healthcare,Buy,50,553.41,27670.5,1.5
TXN-2193,2024-01-22,NEE,NextEra Energy,Utilities,Buy,20,79.64,1592.8,3.0
TXN-2158,2024-01-23,AMZN,Amazon.com Inc.,Consumer Discretionary,Sell,100,180.1,18010.0,0.3
TXN-2152,2024-01-26,PG,Procter & Gamble,Consumer Staples,Sell,50,179.38,8969.0,2.8
TXN-2174,2024-01-29,NEE,NextEra Energy,Utilities,Buy,15,75.89,1138.35,3.0
TXN-2053,2024-01-30,JNJ,Johnson & Johnson,Healthcare,Buy,100,144.24,14424.0,1.5
TXN-2038,2024-02-01,AAPL,Apple Inc.,Technology,Buy,15,195.05,2925.75,0.5
TXN-2047,2024-02-02,AAPL,Apple Inc.,Technology,Buy,100,192.78,19278.0,0.5
TXN-2160,2024-02-07,VZ,Verizon,Communication Services,Sell,50,48.09,2404.5,5.0
TXN-2050,2024-02-09,PG,Procter & Gamble,Consumer Staples,Buy,20,157.44,3148.8,2.8
TXN-2076,2024-02-10,JNJ,Johnson & Johnson,Healthcare,Buy,25,155.69,3892.25,1.5
TXN-2179,2024-02-12,AAPL,Apple Inc.,Technology,Buy,10,200.6,2006.0,0.5
TXN-2120,2024-02-15,KO,Coca-Cola Co.,Consumer Staples,Sell,50,58.86,2943.0,2.8
TXN-2197,2024-02-18,VZ,Verizon,Communication Services,Buy,50,47.38,2369.0,5.0
TXN-2010,2024-02-19,JPM,JPMorgan Chase,Financials,Buy,100,204.39,20439.0,2.5
TXN-2014,2024-02-24,MSFT,Microsoft Corp.,Technology,Buy,50,353.09,17654.5,0.5
TXN-2098,2024-02-24,AMZN,Amazon.com Inc.,Consumer Discretionary,Sell,10,194.02,1940.2,0.3
TXN-2031,2024-02-27,VZ,Verizon,Communication Services,Buy,100,42.39,4239.0,5.0
TXN-2191,2024-02-27,AMZN,Amazon.com Inc.,Consumer Discretionary,Sell,15,189.63,2844.45,0.3
TXN-2137,2024-03-01,NEE,NextEra Energy,Utilities,Buy,20,62.38,1247.6,3.0
TXN-2008,2024-03-04,AAPL,Apple Inc.,Technology,Buy,15,176.64,2649.6,0.5
TXN-2001,2024-03-05,VZ,Verizon,Communication Services,Buy,20,42.61,852.2,5.0
TXN-2072,2024-03-05,AMZN,Amazon.com Inc.,Consumer Discretionary,Buy,100,198.93,19893.0,0.3
TXN-2107,2024-03-06,AAPL,Apple Inc.,Technology,Sell,25,189.13,4728.25,0.5
TXN-2169,2024-03-10,VZ,Verizon,Communication Services,Buy,15,36.43,546.45,5.0
TXN-2195,2024-03-10,TSLA,Tesla Inc.,Consumer Discretionary,Buy,10,223.27,2232.7,0.3
TXN-2104,2024-03-12,UNH,UnitedHealth Group,Healthcare,Buy,20,600.39,12007.8,1.5
TXN-2048,2024-03-19,JNJ,Johnson & Johnson,Healthcare,Buy,10,175.12,1751.2,1.5
TXN-2133,2024-03-19,CVX,Chevron Corp.,Energy,Sell,10,140.02,1400.2,3.5
TXN-2106,2024-03-24,AAPL,Apple Inc.,Technology,Buy,15,165.68,2485.2,0.5
TXN-2127,2024-03-28,V,Visa Inc.,Financials,Sell,5,306.28,1531.4,2.5
TXN-2091,2024-03-29,CVX,Chevron Corp.,Energy,Buy,50,147.24,7362.0,3.5
TXN-2103,2024-03-29,PG,Procter & Gamble,Consumer Staples,Sell,50,183.02,9151.0,2.8
TXN-2012,2024-03-31,NEE,NextEra Energy,Utilities,Buy,50,70.55,3527.5,3.0
TXN-2124,2024-04-08,GOOGL,Alphabet Inc.,Technology,Buy,20,128.08,2561.6,0.5
TXN-2199,2024-04-09,NEE,NextEra Energy,Utilities,Buy,15,69.76,1046.4,3.0
TXN-2125,2024-04-13,AAPL,Apple Inc.,Technology,Sell,10,191.45,1914.5,0.5
TXN-2186,2024-04-16,JNJ,Johnson & Johnson,Healthcare,Sell,20,180.33,3606.6,1.5
TXN-2075,2024-04-17,MSFT,Microsoft Corp.,Technology,Buy,20,369.57,7391.4,0.5
TXN-2049,2024-04-18,GOOGL,Alphabet Inc.,Technology,Buy,5,157.06,785.3,0.5
TXN-2081,2024-04-18,AMZN,Amazon.com Inc.,Consumer Discretionary,Sell,100,175.3,17530.0,0.3
TXN-2123,2024-04-20,VZ,Verizon,Communication Services,Sell,50,38.11,1905.5,5.0
TXN-2188,2024-04-29,UNH,UnitedHealth Group,Healthcare,Buy,100,579.53,57953.0,1.5
TXN-2121,2024-05-04,AMZN,Amazon.com Inc.,Consumer Discretionary,Buy,100,158.01,15801.0,0.3
TXN-2034,2024-05-14,JPM,JPMorgan Chase,Financials,Buy,50,176.23,8811.5,2.5
